country,year,indicator,value
MA,2011,gdp,110080631332.375
MA,2010,gdp,100865329473.44
MA,2009,gdp,101154952240.881
MA,2008,gdp,101822906949.063
MA,2007,gdp,86947913286.728
MA,2006,gdp,75883823300.8545
MA,2005,gdp,68852658068.6673
MA,2004,gdp,66114145451.0067
MA,2003,gdp,58029363354.2757
MA,2002,gdp,47077192187.6418
MA,2001,gdp,43831480207.6444
MA,2000,gdp,43017455401.8445
MA,1999,gdp,46266428648.1433
MA,1998,gdp,46497608724.9865
MA,1997,gdp,39147844526.0838
MA,1996,gdp,43161571527.6353
MA,1995,gdp,39030285468.3841
MA,1994,gdp,35604137422.5796
MA,1993,gdp,31655473663.8348
MA,1992,gdp,33711069430.78
MA,1991,gdp,32285573573.9185
MA,1990,gdp,30179954774.9899
MA,1989,gdp,26314313191.1826
MA,1988,gdp,25705296183.5037
MA,1987,gdp,21765195948.189
MA,1986,gdp,19462085540.2231
MA,1985,gdp,14991283215.7408
MA,1984,gdp,14824667954.3674
MA,1983,gdp,16251408127.5735
MA,1982,gdp,17692276734.171
MA,1981,gdp,17788185478.944
MA,1980,gdp,21728516153.0907
MA,1979,gdp,15911994817.3107
MA,1978,gdp,13236946233.5759
MA,1977,gdp,11049783871.8144
MA,1976,gdp,9584297284.28316
MA,1975,gdp,8984853005.08058
MA,1974,gdp,7675466449.35531
MA,1973,gdp,6242145880.08876
MA,1972,gdp,5074117544.77482
MA,1971,gdp,4356669034.34266
MA,1970,gdp,3956336244.11865
MA,1969,gdp,3651622668.95103
MA,1968,gdp,3271422332.61996
MA,1967,gdp,3046345314.38655
MA,1966,gdp,2876401297.10759
MA,1965,gdp,2948331090.46752
MA,1964,gdp,2798345298.57781
MA,1963,gdp,2657252578.30763
MA,1962,gdp,2379611124.61442
MA,1961,gdp,2025693539.55842
MA,1960,gdp,2037154741.93211
MA,2024,population,38081173.0
MA,2023,population,37712505.0
MA,2022,population,37329064.0
MA,2021,population,36954442.0
MA,2020,population,36584208.0
MA,2019,population,36210898.0
MA,2018,population,35839760.0
MA,2017,population,35446392.0
MA,2016,population,35023457.0
MA,2015,population,34607588.0
MA,2014,population,34204780.0
MA,2013,population,33787571.0
MA,2012,population,33355241.0
MA,2011,population,32912588.0
MA,2010,population,32467016.0
MA,2009,population,32030778.0
MA,2008,population,31606767.0
MA,2007,population,31186468.0
MA,2006,population,30771178.0
MA,2005,population,30358144.0
MA,2004,population,29953018.0
MA,2003,population,29571415.0
MA,2002,population,29198142.0
MA,2001,population,28814643.0
MA,2000,population,28423435.0
MA,1999,population,28027179.0
MA,1998,population,27621648.0
MA,1997,population,27213337.0
MA,1996,population,26808107.0
MA,1995,population,26399429.0
MA,1994,population,26000822.0
MA,1993,population,25614586.0
MA,1992,population,25212468.0
MA,1991,population,24799014.0
MA,1990,population,24375551.0
MA,1989,population,23939414.0
MA,1988,population,23500524.0
MA,1987,population,23054392.0
MA,1986,population,22600803.0
MA,1985,population,22113953.0
MA,1984,population,21593778.0
MA,1983,population,21060696.0
MA,1982,population,20520318.0
MA,1981,population,19985401.0
MA,1980,population,19459943.0
MA,1979,population,18955589.0
MA,1978,population,18477385.0
MA,1977,population,18014756.0
MA,1976,population,17574182.0
MA,1975,population,17150786.0
MA,1974,population,16733842.0
MA,1973,population,16326269.0
MA,1972,population,15924692.0
MA,1971,population,15527225.0
MA,1970,population,15129449.0
MA,1969,population,14734255.0
MA,1968,population,14347899.0
MA,1967,population,13968175.0
MA,1966,population,13597065.0
MA,1965,population,13239171.0
MA,1964,population,12898886.0
MA,1963,population,12577502.0
MA,1962,population,12253092.0
MA,1961,population,11931085.0
MA,1960,population,11624933.0
EG,2024,gdp,389059911003.566
